종목코드,종목명,종가,시가총액,DIV,PER,PBR
005930,삼성전자,78000,465643038900000,1.85,36.6,1.5
000660,SK하이닉스,173600,126381210564000,0.69,0.0,2.23
373220,LG에너지솔루션,389000,91026000000000,0.0,73.58,4.51
207940,삼성바이오로직스,775000,55159850000000,0.0,64.31,5.61
005935,삼성전자우,65000,53487635500000,2.22,0.0,0.0
005380,현대차,249000,52144631559000,4.58,5.45,0.71
000270,기아,119600,48084486678800,4.68,5.4,1.02
068270,셀트리온,187500,40884330375000,0.27,49.88,2.29
005490,POSCO홀딩스,399000,33743920770000,2.51,17.83,0.56
035420,NAVER,188800,30662742547200,0.64,28.34,1.23
006400,삼성SDI,443500,30497069055000,0.23,14.76,1.6
105560,KB금융,72300,29173850505600,4.23,6.24,0.48
051910,LG화학,405000,28589898915000,0.86,23.7,0.98
028260,삼성물산,146100,27114942987000,1.75,10.78,0.7
055550,신한지주,45800,23330209201200,4.59,5.69,0.44
003670,포스코퓨처엠,280000,21689701600000,0.09,754.72,9.22
035720,카카오,48300,21505279742100,0.13,0.0,2.17
012330,현대모비스,226000,21166051244000,1.99,6.0,0.5
032830,삼성생명,84800,16960000000000,4.36,8.03,0.36
086790,하나금융지주,57000,16664326086000,5.96,5.01,0.42
138040,메리츠금융지주,78700,15009672971800,3.0,7.14,1.56
066570,LG전자,91500,14973774981000,0.87,23.14,0.84
000810,삼성화재,301000,14259825937000,5.32,7.04,0.79
015760,한국전력,21350,13705933043950,0.0,0.0,0.38
042700,한미반도체,133000,12946127166000,0.32,48.31,22.64
018260,삼성에스디에스,158400,12256643520000,1.7,17.67,1.42
003550,LG,77800,12238017255400,3.98,9.69,0.46
329180,HD현대중공업,136200,12090898399200,0.0,489.93,2.32
034730,SK,162000,11858129298000,3.09,0.0,0.43
033780,KT&G,90900,11846314977300,5.72,11.59,1.12
323410,카카오뱅크,24800,11827644197600,0.6,33.29,1.93
259960,크래프톤,243000,11752571799000,0.0,18.97,2.02
009150,삼성전기,153100,11435604857600,0.75,27.35,1.47
012450,한화에어로스페이스,220500,11163915000000,0.82,13.69,3.16
017670,SK텔레콤,51000,10954292703000,6.94,10.29,0.95
024110,기업은행,13600,10844991818400,7.24,4.3,0.34
011200,HMM,15600,10749016137600,4.49,9.36,0.5
034020,두산에너빌리티,16500,10569258909000,0.0,189.66,1.48
096770,SK이노베이션,109000,10435179310000,0.0,38.82,0.47
316140,우리금융지주,13980,10381429183980,7.15,4.33,0.33
090430,아모레퍼시픽,173400,10142644410600,0.52,66.46,2.44
402340,SK스퀘어,75000,10106247000000,0.0,0.0,0.67
010130,고려아연,460000,9617950480000,3.26,17.6,1.02
